company_name,phone_number,website
Sigma Properties and Marketing Pvt Ltd,51111477488,https://sigmaproperties.com.pk/
Multiplierz Group,3201112211,http://www.multiplierz.com
MENHIR BUILDERS & DEVELOPERS,-4918408,http://www.menhir.com.pk
SILK Trade & Logistics,3334310267,http://www.asklint.com
SHAN BUILDERS & DEVELOPERS (PVT.) LIMITED,051-8485335,https://shan.com.pk/
ASCO Properties (Private) Limited,92512120202,http://www.ascoproperties.com
Paklanders Private Limited,9.23135E+11,http://www.paklanders.com
Green Earth Real Estate,80055155,https://greenearth.com.pk/
Akbar Groups Real Estate And Builders,3336955557,http://www.akbargroups.com.pk
We Rise GOC,+92 332 9 33 33 12,https://werisegoc.com/
Sasti Property,512544438,http://www.sastipro.pk/
AL Huda Builders Ltd,9.25111E+12,http://al-hudabuilders.com.pk/
Symble Properties,-5400133,https://symbleproperties.com/
Winston Mall,-1777659,https://winstonmall.com/
AAA Associates,+92 331 20 555 20,https://aaaassociates.com/
CHOHAN ENTERPRISES,9251-2272776 / 2272775 / 2273483,
CHIEF ESTATE,9251-2877439 / 2877438,
TIME INVESTMENT COMPANY,9251-2252427,
WARIACH ENTERPRISES,9251-2291417 / 2290687,
THE VICTORY REAL ESTATE,9251-2280455 / 2263161,
VIEW ESTATE,9251-2299680,
United Estates,9251-2828131 / 2201163,
Zahid Builders,9251-2106963 / 2106962,
WARRAICH ENTERPRISES,9251-2281183,
UNITED PROPERTY EXCHANGE,9251-2829113,
UMAIR ASSOCIATED,9251-2291579 / 2291578,
TWO FRIENDS ESTATE,9251-2826595 / 2821587,
TWIN CITY ESTATE LINKER,9251-2275672 / 2275673,
THE BUILDERS,9251-2826445 / 2823832,
Aini Rose International,9251-2803003 / 2206088,
AL-SAHAR ESTATE,9251-2277926 / 2273680 / 2877129 / 2873878,
AL-SYED CORPORATION,9251-2877439 / 2877438,
Grace Land Advisors,-2111824,
Arizona Associates (Pvt) Ltd.,92-51-2823074,
Al-Zafar Associates,-4442580,
Interior Master,9.2331E+11,
Property Exchange Centre,9251-2651104 / 2651101 / 2651133 / 2651134,http://www.propertyexchange.com.pk
MASTER ENTERPRISES,9251-2282292,http://www.master.com.pk
ESTATEMAN PROPERTIES,"(92 51) 2877971,2877975,UAN : (92 51) 111-000-000",http://www.estateman.com
ISLAMABAD PROPERTY COM,9251-2825536 / 2876011,http://www.islamabadproperty.com
SURVEY MASTERS,9251-2282363 / 2852265,http://www.jamals.com/surmas
S.A. Associates,9251-2274784 / 2274785,http://www.saassociates.tk
BAJWA ENTERPRISES,9251-2851262 / 2263269,http://www.bajwaknives.com
Estateman Properties International,9251-111000000 / 2873777 / 2278053 / 2874333,http://www.estateman.com
The Guides,9251-4448887 / 4446660 / 4438782 / 4438781,http://www.theguides.cjb.net
Riseup Int. Estate and Builders,+92 332 565 22 91,http://riseupestate.com/
TANVEER REAL ESTATE,9251-2293812 / 2293811,
KHALID & CO.,9251-2650426 / 2650249,http://www.khalidcompany.com
ALL WAY TRADERS,,http://allwaytrader.com
Recordmarketing,3325291269,https://recordmarketing.pk/nova-city-islamabad/
Mh Associates,9251-2872025,http://www.saremco.biz
True Man Associates,-2100436,http://trueman.synthasite.com
SparkSmart City,3154441479,https://sparksmartcity.com/
Gulberg Islamabad,3481113344,https://www.gulbergislamabad.com
Sector Land,3123333056,http://www.sectorland.com
Pak Property,9.23112E+11,https://www.pakproperty.org
Kashmir Estate,9.23245E+11,http://kashmirestate.com/
Barklay Real State,9251-2201343,
AL-SAEED PROPERTY CENTER,9251-2277794 / 2277793,
Chandraal Associates,9251-4431233 / 4431244,
ESTATE CARE,9251-2201442 / 2201548,
AL-JANNAT ESTATES,9251-2299662 / 2299628,
Al-Munawar Corporation,9251-2253196 / 2253176,
BUSINESS COMMUNICATORS,9251-111124111 / 2275125 / 2275124,
Ajf Builders & Real Estate Agents,9251-2875712 / 2871488,
Capital Property Master,9251-2212551,
Adventure Estate,9251-2292144 / 2297441,
Aamir Enterprises,9251-2276129 / 2276128,
99 Marketing,(+92)33 11 11 03 99,https://the99marketing.com/
Adil Brothers,9251-2253440,
Vip Associates,9251-2293732 / 2293730 / 2293731,http://www.jamals.com/vip
Raja Associates,051-2104899,
Fair Deal Investment Corporation,9251-2107910 / 2107908,http://www.fairdealcorp.com
BERKLAY REAL ESTATE,9251-2201343 / 2271500,http://www.berklayrealestate.com
FORCES ESTATE,9251-2293082 / 2293081,http://www.forcesestate.com
U.K. PROPERTY,9251-4413369,
SULEMAN ESTATE,9251-2105542 / 2105543,
THE PROPERTY BANK,9251-2294177 / 2293747,
SQ ENTERPRISES,(92 51) 2852767,
Pearl Enterprises,9251-2276505 / 2827607,
Mid Link International,9251-243030,
MIAN PROPERTY BUSINESS,9251-2212416 / 2212415,
HI-POINT,9251-2852176 / 2852797,
ESTATE ACCOMMODATOR,9251-2274415 / 2270232,
BILAL ESTATE AGENCY,9251-2256043 / 2261244,
ARTISAN ENTERPRISES,9251-2111677 / 2214577,
AL-ARAB PROPERTY ADVISORS,9251-2211172 / 2211171,
AHMED ESTATE,9251-2294630 / 2211754,
GOODLUCK PROPERTY CENTRE,9251-4443210,
Gold Land Property,9251-2253960,
F-10 Property Exchange,9251-2294240,
Federal Associates,9251-2264332,
FAROOQ PROPERTY,9251-2278668,
Ever Green Estate,9251-2264321 / 2264320,
Estate Professional,9251-2297462 / 2297461,
